ID,FirstName,LastName,Grade,GPA,BirthDate,Gender,ClassRank,AttendPct,Honors,Sports,ClubCount
0030,Danielle,Robinson,,12,3.93  2,0,06-,06-28  F,,005,99.0
0031,Timothy,Walker,,10,3.59  2,0,08-,03-19  M,,057,95.4
0032,Brittany,Young,,11,3.27  2,0,07-,10-07  F,,092,92.5
0033,Eric,Allen,,09,3.86  2,0,09-,02-13  M,,029,98.2
0034,Samantha,King,,12,3.31  2,0,06-,07-31  F,,088,92.4
0035,Jeffrey,Wright,,10,3.19  2,0,08-,12-26  M,,110,89.1
0036,Megan,Scott,,11,3.91  2,0,07-,09-14  F,,016,98.5
0037,Charles,Torres,,09,3.43  2,0,09-,06-03  M,,079,93.9
0038,Victoria,Nguyen,,12,3.77  2,0,06-,01-18  F,,030,97.1
0039,Richard,Hill,,10,3.68  2,0,08-,05-29  M,,048,96.2
0040,Kimberly,Flores,,11,3.29  2,0,07-,12-12  F,,091,92.3
0041,Brian,Green,,09,3.97  2,0,09-,10-08  M,,011,99.4
0042,Allison,Adams,,12,3.54  2,0,06-,04-21  F,,059,94.7
0043,Jeremy,Nelson,,10,3.12  2,0,08-,08-14  M,,112,88.6
0044,Tiffany,Baker,,11,3.83  2,0,07-,02-25  F,,025,97.8
0045,Jacob,Hall,,09,3.35  2,0,09-,11-17  M,,087,92.9
0046,Katherine,Rivera,,12,3.96  2,0,06-,03-09  F,,004,99.7
0047,Mark,Campbell,,10,3.73  2,0,08-,10-31  M,,042,96.6
0048,Christina,Mitchell,,11,3.16  2,0,07-,06-22  F,,104,89.8
0049,Nicholas,Carter,,09,3.89  2,0,09-,05-05  M,,023,98.3
0050,Amber,Roberts,,12,3.47  2,0,06-,11-27  F,,064,94.4
0051,Anthony,Gomez,,10,3.28  2,0,08-,07-15  M,,094,92.2
0052,Kelly,Phillips,,11,3.99  2,0,07-,03-08  F,,001,99.9
0053,Kyle,Evans,,09,3.23  2,0,09-,01-23  M,,101,91.1
0054,Shannon,Turner,,12,3.78  2,0,06-,09-10  F,,031,96.9
0055,Tyler,Diaz,,10,3.49  2,0,08-,04-29  M,,070,95.0
0056,Laura,Parker,,11,3.62  2,0,07-,08-19  F,,052,96.1
0057,Samuel,Cruz,,09,3.09  2,0,09-,07-04  M,,116,88.3
0058,Maria,Edwards,,12,3.94  2,0,06-,12-02  F,,006,99.2
0059,Aaron,Collins,,10,3.56  2,0,08-,02-07  M,,060,95.5
0060,Andrea,Reyes,,11,3.32  2,0,07-,11-13  F,,089,93.1
0061,Adam,Stewart,,09,3.81  2,0,09-,03-27  M,,035,97.7
0062,Erica,Morris,,12,3.25  2,0,06-,08-20  F,,096,91.9
0063,Nathan,Morales,,10,3.18  2,0,08-,06-11  M,,111,89.0
0064,Julie,Murphy,,11,3.93  2,0,07-,01-24  F,,013,98.8
0065,Jonathan,Cook,,09,3.37  2,0,09-,09-15  M,,084,93.5
0066,Christina,Rogers,,12,3.84  2,0,06-,05-07  F,,020,97.4
0067,Patrick,Gutierrez,,10,3.71  2,0,08-,11-02  M,,045,96.7
0068,Christine,Ortiz,,11,3.14  2,0,07-,07-18  F,,106,89.2
0069,Zachary,Morgan,,09,3.96  2,0,09-,02-28  M,,014,99.0
0070,Angela,Cooper,,12,3.44  2,0,06-,10-04  F,,068,94.0
0071,Dustin,Peterson,,10,3.39  2,0,08-,01-22  M,,083,92.6
0072,Catherine,Bailey,,11,3.98  2,0,07-,05-10  F,,003,99.6
0073,Gregory,Reed,,09,3.21  2,0,09-,08-02  M,,108,90.4
0074,Diana,Kelly,,12,3.76  2,0,06-,02-16  F,,033,96.4
0075,Bryan,Howard,,10,3.45  2,0,08-,09-03  M,,073,93.8
0076,Michelle,Ramos,,11,3.82  2,0,07-,03-25  F,,028,97.0
0077,Jose,Kim,,09,3.13  2,0,09-,12-08  M,,113,88.7
0078,Lisa,Cox,,12,3.91  2,0,06-,06-21  F,,008,98.6
0079,Edward,Ward,,10,3.58  2,0,08-,03-12  M,,058,95.3
0080,Sara,Richardson,,11,3.26  2,0,07-,10-30  F,,095,92.0
0081,Corey,Watson,,09,3.87  2,0,09-,02-06  M,,027,98.4
0082,Stephanie,Brooks,,12,3.33  2,0,06-,07-24  F,,086,92.8
0083,Bradley,Chavez,,10,3.17  2,0,08-,12-19  M,,109,89.4
0084,Tara,Wood,,11,3.89  2,0,07-,09-07  F,,017,98.1
0085,Sean,James,,09,3.42  2,0,09-,05-27  M,,080,93.6
0086,Jenny,Bennett,,12,3.79  2,0,06-,01-11  F,,029,97.3
0087,Derek,Gray,,10,3.67  2,0,08-,05-22  M,,049,96.0
0088,Nancy,Mendoza,,11,3.31  2,0,07-,12-05  F,,090,93.0
0089,Keith,Ruiz,,09,3.94  2,0,09-,10-01  M,,016,99.1
0090,Erin,Hughes,,12,3.52  2,0,06-,04-14  F,,061,94.5
0091,Shane,Price,,10,3.14  2,0,08-,08-07  M,,114,88.5
0092,Alicia,Alvarez,,11,3.85  2,0,07-,02-18  F,,024,97.9
0093,Joel,Castillo,,09,3.36  2,0,09-,11-10  M,,085,93.3
0094,Holly,Sanders,,12,3.97  2,0,06-,03-02  F,,002,99.5
0095,Jesse,Patel,,10,3.74  2,0,08-,10-24  M,,041,96.4
0096,Lindsey,Myers,,11,3.18  2,0,07-,06-15  F,,102,90.1
0097,Tracy,Long,,09,3.88  2,0,09-,04-28  M,,024,98.0
0098,Jared,Ross,,12,3.49  2,0,06-,11-20  F,,063,94.6
0099,Tasha,Foster,,10,3.27  2,0,08-,07-08  F,,093,92.4
0100,Clayton,Jimenez,,11,3.91  2,0,07-,03-01  M,,015,98.9
